"id","housedelId","totalPrice","title","houseType","constructionArea","unitPrice","listingTime","toward","floor","buildingtype","hasElevator","decorationType","yearOfRight","buildyear","useful","lastSell","last30DayLead","attention"
"1","107100076332","245","一手动迁 位置好 视野开阔 南北户型 入住率高 随时看","2室2厅1厨1卫","78.27㎡","31302","8/3/2018 00:00:00","南 北","高楼层 (共14层)","板楼","有","毛坯","70年","2008年建/板楼","普通住宅","2010-02-07","0","175"
"2","107100410673","260","浦江馨都 2室1厅 260万","2室1厅1厨1卫","77.32㎡","33627","25/6/2018 00:00:00","南","中楼层 (共11层)","板楼","有","毛坯","未知","2013年建/板楼","普通住宅","2013-06-01","0","48"
"3","107100347312","235","大型商场旁电梯南北通钥匙房看房方便好楼层急售","2室2厅1厨1卫","77.83㎡","30195","3/6/2018 00:00:00","南 北","中楼层 (共11层)","板楼","有","毛坯","未知","2013年建/板楼","普通住宅","2015-03-12","0","115"
"4","107002291749","290","水清路沿线小区，出行便利，生活便利，社区成熟","2室1厅1厨1卫","73.66㎡","39371","14/12/2017 00:00:00","南","中楼层 (共6层)","板楼","无","精装","70年","1995年建/板楼","普通住宅","2009-02-21","0","44"
"5","107100349147","295","小区中间位置，中层，房屋无遮挡视野好，业主诚售","1室1厅1厨1卫","55.86㎡","52811","4/6/2018 00:00:00","南","中楼层 (共13层)","板楼","有","精装","未知","2009年建/板楼","普通住宅","2015-02-01","0","18"
"6","107100065735","220","户型正气，视野开阔，地段位置好，空气质量，环境好！","2室2厅1厨1卫","83㎡","26507","5/3/2018 00:00:00","南","低楼层 (共14层)","板楼","有","毛坯","未知","2013年建/板楼","普通住宅","2014-08-23","0","428"
"7","107002244449","248","近浦航路地铁站  楼层好  位置好","2室2厅1厨1卫","76.58㎡","32385","6/11/2017 00:00:00","暂无数据","高楼层 (共7层)","板楼","有","其他","未知","2011年建/板楼","普通住宅","2014-11-07","0","76"
"8","107100525999","215","南北通，格局正，采光好，楼层佳，价格可谈，随时看房","2室1厅1厨1卫","70.85㎡","30346","5/8/2018 00:00:00","南","中楼层 (共6层)","板楼","无","毛坯","未知","2013年建/板楼","普通住宅","2010-05-14","0","71"
"9","107100249228","268","双南带大天井，南面采购无遮挡，看房方便！诚意出售","2室1厅1厨1卫","75.49㎡","35502","30/4/2018 00:00:00","南","低楼层 (共6层)","板楼","无","精装","未知","1995年建/板楼","普通住宅","2011-01-17","0","13"
"10","107002326139","225","满五唯一 南北通透 楼层好 视野宽阔 交通便利","3室1厅1厨1卫","72.94㎡","30848","12/1/2018 00:00:00","南","中楼层 (共6层)","板楼","无","毛坯","70年","1993年建/板楼","普通住宅","暂无数据","0","139"
"11","107100532772","243","南北通中间楼层沿河景观，品质小区，看房方便","2室2厅1厨1卫","72.01㎡","33746","8/8/2018 00:00:00","南 北","中楼层 (共6层)","板楼","无","毛坯","未知","2008年建/板楼","普通住宅","2009-06-28","0","89"
"12","107100541975","210","精装修全南2房 沿河景观 中上楼层 免征个税增值税","2室2厅1厨1卫","62.74㎡","33472","11/8/2018 00:00:00","南","中楼层 (共11层)","暂无数据","暂无数据","精装","70年","2010年建/暂无数据","普通住宅","2011-08-03","0","111"
"13","107100631430","260","水语人家北苑 2室1厅 260万","2室1厅1厨1卫","76.55㎡","33965","10/9/2018 00:00:00","南 北","低楼层 (共11层)","板楼","有","精装","未知","2009年建/板楼","普通住宅","2013-05-17","0","26"
"14","107002224583","228","业主诚心出售 看房方便 位置好 看过就知道","2室1厅1厨1卫","59㎡","38645","22/10/2017 00:00:00","南 北","中楼层 (共6层)","板楼","无","简装","未知","1994年建/板楼","普通住宅","1998-04-28","0","91"
"15","107100529886","279","原始动迁，楼层好，位置佳，南北通户型","2室2厅1厨1卫","76㎡","36711","6/8/2018 00:00:00","南 北","中楼层 (共17层)","板楼","有","毛坯","未知","2013年建/板楼","普通住宅","2012-08-09","0","98"
"16","107100241560","265","满五唯一，豪气大户型可改2房，钥匙房急卖","1室1厅1厨1卫","56.12㎡","47221","28/4/2018 00:00:00","南","高楼层 (共6层)","板楼","无","简装","未知","1999年建/板楼","普通住宅","2007-12-27","0","121"
"17","107001178069","219","南北通双阳台，精装，拎包入住..","2室2厅1厨1卫","75.19㎡","29127","29/1/2018 00:00:00","南","低楼层 (共11层)","板楼","有","精装","未知","2008年建/板楼","普通住宅","2010-09-03","0","570"
"18","107100398399","260","一梯三户 南北通景观楼层 靠河位置 闵瑞路站780米！","2室2厅1厨1卫","74.47㎡","34914","21/6/2018 00:00:00","南 北","高楼层 (共17层)","板楼","有","毛坯","70年","2008年建/板楼","普通住宅","2014-04-01","0","28"
"19","107002340799","255","楼层佳！~精装修~价格可谈呦~~~~","2室2厅1厨1卫","74.02㎡","34451","26/1/2018 00:00:00","南 北","中楼层 (共17层)","板楼","有","精装","未知","2008年建/板楼","普通住宅","2012-01-06","0","413"
